ID,Correlativo,Fecha,Categoría,Edad,Talla,IMC,PesoActual_Kg,MA_Per,MA_Kg,MO_kg,MM_Per,MM_Kg,IMO,Sum6Pliegues,Observaciones,TallaSentado,Biacromial,T_delTorax,AntPost_delTorax,Biiliocristal,Humero,Femur,Cabeza,Brazo_Relajado,Brazo_Flexionado,Antebrazo,Torax,Cintura,Cadera,Muslo1cm_Gluteo,MusloMedio,Pierna,Triceps,Subescapular,Supraespinal,Abdominal,Muslo,Pantorrilla,Fecha_registro,Nro_Evaluacion,MG_Per,Std - 4 Clusters,MA_Kg - Grouping,MM_Kg - Grouping,Sum6Pliegues - Grouping,Std - 5 Clusters,Std - 6 Clusters,Height - 4 Clusters,Height - 5 Clusters,Height - 6 Clusters,Age - 4 Clusters,Age - 5 Clusters,Age - 6 Clusters
10000136,887,2023-01-06,Reserva,18.6,176.2,3.1046,74.5,21.68,16.149,9.961,52.8,39.335,3.9489,42.0,,134.2,41.7,27.7,19.8,27.9,6.8,10.0,55.5,30.5,32.3,25.9,91.5,76.9,93.0,55.5,52.5,37.2,6.0,8.0,6.0,10.0,8.0,4.0,2024-01-27 20:03:20.700,7,12.92,2,80-100,80-100,20-40,2,3,0,3,3,2,2,3
10000138,686,2023-11-27,Sub-16,16.2,170.0,2.89,63.6,23.39,14.873,7.296,46.95,29.858,4.0924,46.9,,88.0,37.1,26.4,19.0,25.4,6.6,9.6,55.2,26.4,27.4,23.7,86.0,72.7,89.6,53.4,52.7,36.1,8.0,7.4,6.0,9.5,9.6,6.4,2023-12-05 00:34:20.303,1,,2,60-80,40-60,40-60,2,5,0,0,0,1,4,4
10000141,129,2023-01-09,Sub-18,17.6,171.8,23.0389453041886,68.0,22.8208579893491,15.5181834327574,8.7336221589177,47.8915974932172,32.5662862953877,3.72884076077587,54.0,Reducir 1.5 kg de masa adiposa y aumentar 2.9 kg de masa muscular / NO APTO,93.1,40.4,28.3,20.1,28.5,7.4,9.8,53.7,28.6,29.9,26.5,91.1,73.2,97.3,53.5,53.0,36.5,7.5,9.1,9.6,15.8,6.4,5.6,2023-10-19 19:58:19.247,1,,2,60-80,60-80,60-80,2,3,0,0,3,2,2,1
10000143,801,2023-01-06,Reserva,20.7,174.6,3.0485,67.0,18.8,12.594,8.109,51.66,34.614,4.2686,30.0,,91.5,40.1,23.1,19.5,24.5,7.0,10.0,55.4,27.5,29.1,24.0,88.6,74.2,90.5,55.0,53.0,38.0,4.0,5.0,5.0,6.0,6.5,3.5,2024-01-27 20:03:20.700,3,10.53,2,0-20,60-80,0-20,2,3,0,3,3,2,2,3
10000145,184,2023-03-07,Sub-16,16.1,168.4,23.0265570607252,65.3,26.1840483184763,17.098183551965,8.96388932622314,42.8795606523634,28.0003531059933,3.12368349128101,67.2,"Mantener MM, disminuir 35 puntos en la S6P.",99.6,40.5,28.7,19.8,28.3,7.2,9.8,55.6,26.3,27.3,23.2,86.6,74.3,89.9,55.8,54.0,36.2,9.4,8.6,9.4,17.0,11.2,11.6,2023-10-19 19:58:19.247,1,,2,80-100,0-20,80-100,2,5,1,0,0,1,4,4
10000146,763,2023-01-06,Reserva,18.9,168.4,2.8359,67.3,18.78,12.637,8.781,50.85,34.222,3.8973,39.0,,131.1,40.2,29.2,21.0,26.3,6.8,10.2,57.4,29.0,31.0,26.5,92.0,81.2,92.3,54.1,52.5,36.2,4.0,9.0,5.0,8.0,10.0,3.0,2024-01-27 20:03:20.700,1,10.51,2,0-20,60-80,0-20,2,3,1,0,0,2,2,3
10000148,18,2023-01-11,Sub-16,15.6,160.0,23.8671875,61.1,21.9805161110086,13.4300953438262,7.8030822206557,48.1350944005956,29.4105426787639,3.76909301313148,57.3,"Mantener MM, disminuir 4 puntos en la S6P.",91.7,37.4,28.0,18.8,28.0,6.7,9.9,54.7,27.8,28.4,24.2,86.7,71.6,92.5,57.6,53.5,37.0,10.9,8.3,9.6,10.0,10.8,7.7,2023-10-19 19:58:19.247,1,11.48,2,20-40,20-40,80-100,1,5,1,4,2,1,0,4
10000149,17,2023-01-11,Sub-16,16.0,172.0,21.8023255813953,64.5,21.0194719288572,13.5575593941129,9.22477542742898,45.3915940048734,29.2775781331433,3.17379846950954,40.4,"Mantener MM, disminuir 8.6 puntos en la S6P.",94.1,40.8,30.2,18.6,28.5,6.7,10.2,56.2,26.6,28.1,24.5,87.2,75.6,90.5,52.0,50.1,34.7,6.6,8.3,7.8,7.8,5.9,4.0,2023-10-19 19:58:19.247,1,11.52,2,20-40,20-40,0-20,2,5,0,0,3,1,4,4
10000151,35,2023-01-10,Sub-18,16.4,171.0,21.3740980130638,62.5,20.457722869791,12.7860767936194,8.25272740300915,47.7309996490413,29.8318747806508,3.61478979298085,37.2,Requiere aumentar 4 kg de masa muscular ,91.7,40.1,27.9,18.7,26.6,7.0,9.5,55.5,26.4,28.0,25.5,86.7,74.1,87.4,52.4,48.5,34.4,4.9,7.1,8.4,7.3,4.9,4.6,2023-10-19 19:58:19.247,1,10.51,2,0-20,40-60,0-20,2,5,0,0,3,1,4,4
10000156,37,2023-01-10,Sub-17,16.5,168.4,22.9912943393459,65.2,21.4519169238513,13.986649834351,8.13657824398392,48.6953627108507,31.7493764874746,3.90205508205488,49.2,"Aumentar 1.5 kg de MM, mantener S6P.",91.5,41.0,29.8,18.6,25.0,7.3,9.8,54.7,28.1,30.3,27.0,90.4,72.1,90.9,55.3,52.5,35.3,7.0,9.9,8.4,7.3,9.9,6.7,2023-10-19 19:58:19.247,1,,2,40-60,40-60,60-80,2,5,1,0,0,1,4,4
10000159,862,2023-01-06,Reserva,17.1,169.7,2.8798,65.8,21.9,14.411,8.17,49.32,32.449,3.9717,47.0,,123.6,39.0,28.2,19.6,28.1,6.5,9.5,55.0,29.3,31.3,25.5,92.5,78.9,91.1,52.5,49.8,32.7,7.0,9.0,6.5,14.0,7.0,3.5,2024-01-27 20:03:20.700,5,13.11,2,40-60,60-80,40-60,2,5,0,0,0,2,4,1
10000163,20,2023-01-11,Sub-16,15.6,173.4,19.6224768488032,59.0,24.8627369756036,14.6690148156061,6.89120692257258,45.1359513537617,26.6302112987194,3.86437551475787,45.1,"Aumentar 3.9 kg de MM, disminuir 0.6 puntos en la S6P.",94.6,37.1,29.5,20.0,25.7,7.0,9.4,54.0,24.7,26.2,22.5,87.5,68.0,89.0,52.0,48.9,32.5,7.5,6.7,9.0,10.0,7.9,4.0,2023-10-19 19:58:19.247,1,,2,40-60,0-20,40-60,0,5,0,3,3,1,0,4
10000165,131,2023-01-09,Sub-18,16.5,170.2,25.8906021946946,75.0,22.3305069568602,16.7478802176451,8.94690673853316,51.3079490585705,38.4809617939278,4.30103530957748,57.6,,133.7,37.5,31.0,20.0,29.5,7.3,9.8,55.3,31.2,31.2,26.4,96.1,81.2,96.5,56.5,55.0,36.5,9.6,9.1,9.6,16.3,7.9,5.1,2023-10-19 19:58:19.247,1,11.08,2,80-100,80-100,80-100,2,5,0,0,0,1,4,4
10000166,21,2023-01-11,Sub-16,16.0,163.6,20.7734291401893,55.6,23.0098138286588,12.7934564887343,7.48195464994544,45.1527683512449,25.1049392032921,3.35539847243998,44.8,"Aumentar 4.3 kg de MM, disminuir 3 puntos en la S6P.",89.5,38.3,26.9,17.5,26.0,6.7,9.7,52.6,25.0,27.0,23.2,81.5,70.1,86.5,50.5,49.5,34.4,7.5,7.5,8.4,8.4,7.4,5.6,2023-10-19 19:58:19.247,1,13.58,2,0-20,0-20,40-60,2,5,1,4,2,1,4,4
10000167,38,2023-01-10,Sub-17,16.5,169.1,21.8571132313871,62.5,21.5208302101088,13.450518881318,7.91612951783501,47.3487149411301,29.5929468382063,3.73831008847613,48.9,"Aumentar 3.3 kg de MM, mantener S6P.",93.1,39.2,30.0,19.0,27.3,7.1,9.6,56.6,27.5,29.1,25.1,91.0,76.0,91.8,55.2,50.5,34.5,8.3,8.3,9.3,8.4,7.9,6.7,2023-10-19 19:58:19.247,1,,2,20-40,40-60,60-80,2,5,1,0,0,1,4,4
